U0001,AGA KHAN HIGH SCHOOL
U1394,KYAGAMBIDDWA SECONDARY SCHOOL
U1400,GRACE HIGH SCHOOL
U1401,BULOBA SECONDARY SCHOOL
U1407,EXCELL SEC. SCH. MUKONO
U1409,EQUATOR COLLEGE LUGAZI
U1411,ST.LUCIA HILL SCHOOL
U1415,KASANA SECONDARY SCHOOL
U1417,NTUNGAMO HIGH SCHOOL
U1418,MITYANA STANDARD SEC.SCH.
U1420,KING FAISAL BBUYE ISLAMIC S.S
U1423,UPLANDS HIGH SCHOOL
U1424,ST.PAUL'S  S.S KAGONGI
U1430,TRINITY  S.S RWASHAMAIRE
U1433,BUKOTO HIGH SCHOOL
U1441,BASAJJABALABA  SEC. SCH.
U1443,ST.MICHAEL HIGH SCHOOL
U1445,GREAT AUBREY MEMORIAL COLLEGE
U1447,MITA COLLEGE KAWEMPE
U1451,LONDON COL. ST.LAWRENCE MAYA
U1452,EXCEL SECONDARY SCHOOL
U1459,EVEREST COLLEGE
U1462,POPE JOHN PAUL II COLLEGE
U1467,RISE  AND SHINE  HIGH  SCHOOL
U1469,KIBOGA PROGRESSIVE SCHOOL
U1470,DAYSTAR CHRISTIAN SECONDARY SCHOOL
U1472,BIISO WAR  MEMORIAL  S.S
U1473,"DR.ORYANGA SECONDARY SCHOOL, MINAKULU"
U1476,"RAINBOW HIGH SCHOOL, BUDAKA"
U1483,CROWN HIGH SCHOOL
U1485,"MITYANA COLLEGE, KIKUMBI"
U1486,ROYAL GIANT HS
U1487,KIRYOKYA PARENTS SEC. SCH
U1495,KINONI HIGH SCHOOL
U1501,PAUL MUKASA SS
U1506,LIGHT COLLEGE MUKONO
U1508,TALENTS COLLEGE MUKONO
U1509,COMPREHENSIVE COLLEGE KITETIKKA
U1520,ST. JOSEPH'SS.S
U1525,IGANGA TOWN VIEW SENIOR SECONDARY SCHOOL
U1526,DYNAMIC SECONDARY SCHOOL
U1532,MULANDA PARENTS' SS
U1536,KISAASI COLLEGE SCHOOL
U1542,NAMUGOONA PARENTS SCHOOL
U1545,CENTRAL SCHOOL HOIMA
U1546,ST GERALD MHS
U1549,PIMBAS SENIOR SECONDARY SCHOOL
U1550,MAKERERE DAY AND EVENING ADULT SCHOOL
U1555,"BILAL ISLAMIC SEC. SCHOOL, BWAISE"
U1556,KIWOKO SECONDARY
U1566,MASAKA PARENTS S S
U1568,SHEEMA  PREMIER  SCHOOL
U1572,MODERN SECONDARY SCHOOL MBIRIZI
U1575,"ST.PAUL'S VOC.SS, BUYANJA"
U1578,NYAKYERA S.S
U1585,SSINGO SECONDARY SCHOOL
U1588,GOLDEN SCHOOL
U1600,HEREIGNS S.S MALABA
U1604,RENA COLLGE MAYUGE
U1607,"SEAT OF WISDOM SS, KASAWO"
U1609,NAALYA SSS
U1611,OURLADY OF AFRICA SS NAMILYANGO
U1612,HILTON HIGH SCHOOL
U1613,ROMASA GIRLS COLLEGE
U1619,SOROTI COMMUNITY SECONDARY SCHOOL
U1620,"SUNRISE HIGH SCHOOL, SERERE"
U1624,ST. PAUL S.S. NAKYESSANJA
U1634,KISAALIZI SECONDARY SCHOOL
U1645,WINSTON STANDARD SS
U1648,MARGARET SS KIKAYA
U1656,VINE HIGH SCHOOL
U1660,nan
U1661,ALLIANCE SECONDARY SCHOOL
U1663,PROGRESSIVE KITINTALE S.S.
U1664,ST. MARK'S SS NAMAGOMA
U1665,HANA MIXED SCHOOL
U1672,KYASANKU HILL COLLEGE
U1677,KIBIBI CENTRAL COLLEGE
U1682,BONI  CONSILLIGIRLS
U1684,MATETE COMPREHENSIVE SEED .S.S
U1685,ANGEL HIGH SCHOOL
U1687,JOVENS HIGH SCHOOL ENTEBBE
U1688,KYADONDO SS
U1690,AKII BUA COMP S.S
U1691,OKWANG SECONDARY SCHOOL
U1692,"GLOBAL SKILLS SS, KAMPALA"
U1694,PALLISA HIGH SCHOOL
U1696,DEDE SECONDARY SCHOOL
U1703,VISION HIGH SCHOOL
U1710,ST JANAN LUWUM SS
U1714,KISUBI HIGH SCHOOL
U1716,FAIHA HIGH SCHOOL
U1721,MASAKA EXODUS VOCATIONAL SECONDARY SCHOOL
U1732,PLUS TWO HIGH SCHOOL
U1733,MITYANA TRINITY COLLEGE
U1737,LUTEMBE BOARDING SECONDARY SCHOOL
U1740,BUSOLWE STUDENTS CENTRE
U1748,TOWNSIDE HIGH SCHOOL
U1750,MBALE COMPREHENSIVE HIGH SCHOOL
U1752,NAKALOKE  SS
U1756,JINJA SS ANNES
U1758,NAMUGONGO SEC. VOCATIONAL SCHOOL
U1762,GATEWAY HIGH SCHOOL
U1764,nan
U1766,ENTEBBE GIRLS S.S.
U1770,NSAMBYA SECONDARY SCHOOL
U1771,HIGHFIELD HIGH SCHOOL OF E.A
U1772,CITYSIDE COLLEGE MAKERERE
U1775,NDEJJE HIGH SCHOOL
U1781,USHINDI SCHOOL
U1783,MAKERERE SECONDARY SCHOOL
U1787,NKOWE HIGH SCHOOL
U1796,ST. MARGARET MARY MUHORRO GIRLS
U1797,NYABUGANDO BAPTIST VOCATIONAL SS
U1802,EMMA HIGH SCHOOL
U1807,FISHER BRANCH KALAGALA HIGH SCHOOL
U1814,GOOD SAMARITAN  .H.S
U1815,"ST LAWRENCE COLLEGE, PARIS PALAIS"
U1819,"ST. HENRY'S COLLEGE, GANGU"
U1821,WEST END MODERN SS
U1825,ST. BRIDGET GIRLS' HIGH SCHOOL
U1828,STANDARD COLLEGE NTUNGAMO
U1829,GOOD SHEPHERD HIGH SCHOOL
U1830,UGANGA MARTRY'S COLLEGE SSONDE
U1831,BUKEDEA LIFELINE SEC SCH
U1832,ST. BARNABAS COLLEGE MIGADDE
U1843,"CENTRAL COLLEGE , KABIMBIRI"
U1846,KAWALA HIGH SCHOO
U1847,"LONDON HIGH SCHOOL, NANSANA"
U1848,BUGANDA COLLEGE  WAKISO
U1849,LUNAH INTERNATIONAL COLLEGE
U1854,EVERLIGHT COLLEGE KALUNGU BBUNGA
U1855,DARA CHRISTIAN HIGH SCHOOL
U1860,NEWCASTLE HIGH SCHOOL KASANGA
U1861,BUDDO COLLEGE
U1867,KICHWAMBA HIGH SCHOOL
U1868,MT. RWENZORI GIRLS SEC. SCHOOL
U1873,ST. AGNES GIRLS SECONDARY SCHOOL
U1876,"RWANYAGWE HIGH SCHOOL, MBARARA"
U1877,MERRYLAND HIGH SCHOOL - ANNEX
U1878,"LUGAZI PROGRESSIVE S,S,"
U1879,JINJA PROGRESSIVE SS
U1882,WAKISO MUSLIM SECONDARY SCHOOL
U1890,KIBIBI MUSLIM S.S
U1891,MPOMA ROYAL COLLEGE
U1895,TORORO TOWN COLLEGE
U1896,RUBONGI ARMY SECONDARY SCHOOL
U1898,FAITH HIGH SCHOOL - SONDE
U1906,MAZOLDI. COLL
U1907,NAKASEKE INTERNATIONAL COLLEGE
U1908,PAKADHA SEED SECONDARY SCHOOL
U1915,"WORLD AHEAD SS, MATUGGA"
U1917,"ST.JOHN'S, WAKISO SECONDARY SCHOOL"
U1923,KIGUMBA INTENSIVE S.S
U1926,ACABA SECONDARY SCHOOL
U1929,"HILLSIDE COLLEGE, MITYANA"
U1932,KAIKOLONGO SEED SECONDARY SCHOOL
U1934,"EQUATORIAL COLLEGE, IBANDA"
U1935,LOWELL GIRLS' SCHOOL
U1946,EDEN INTERNATIONAL SCHOOL
U1947,CLEVERLAND HIGH SCHOOL
U1950,LOTUKE SEED SECONDARY SCHOOL
U1951,"ST. PETERS MIXED SS,MUKONO"
U1964,MBALE SECONDARY SCHOOL - ANNEX
U1965,SHAMMAH HIGH SCHOOL
U1971,"ROYAL COLLEGE, MAKINDYE"
U1973,MARANATHA HIGH SCHOOL
U1974,ST. PETER'S HS  HOIMA
U1975,"CHURCH OF GOD HIGH SCHOOL, KASUBI"
U1978,"BULEMEZI S.S, VVUMBA"
U1979,GAYAZA CAMBRIDGE COLLEGE
U1983,SPIRE HIGH SCHOOL
U1984,"HOPE SENIOR SCHOOL, NAKIREBE"
U1989,KYEITEMBE  VICATIONAL SS
U1992,"ST.STEPHEN'S COLLEGE, BAJJA"
U1994,MULAGO SECONDARY SCHOOL
U1995,BAHATI HIGH SCHOOL
U1996,KISORO COMPREHENSIVE S.S.S
U1998,NYABIKONI S.S.S
U2000,RWASHAMAIRE HIGH SCHOOL
U2005,"BRIGHT FUTURE VOC. SS, BWEBAJJA"
U2009,"K. GARDEN GROOVE COLLEGE, BUDDO"
U2010,TRINITY SENIOR ACADEMY
U2013,"ST. AUGUSTINE SS, NAKIFUMA"
U2024,ROYAL COLLEGE MISINDYE
U2028,SEETA SECONDARY SCHOOL
U2032,SEETA HIGH SCHOOL-MUKONO
U2034,GGABA PARENTS HIGH SCHOOL
U2035,LUMUZA HIGH SCHOOL  - KITENDE
U2036,MIDFIELD SS
U2040,MATUGGA GIRLS SECONDARY SCHOOL
U2041,IQRA HIGH SCHOOL
U2045,MUNYONYO HIGH SCHOOL
U2047,BALIBASEKA SS
U2048,"ST. CHARLES LWANGA INT. SEC. SCHOOL, KAKIRI"
U2050,PRIDE SECONDARY SCHOOL
U2051,nan
U2054,"ST. CATHERINE GIRLS SCH, KAZO"
U2060,KINGSWAY HIGH SCHOOL
U2061,"MASAKA SECONDARY SCHOOL, ANNEX"
U2071,KIGEZI CLEVERLAND HIGH SCHOOL
U2088,"GOOD HEART SS, JINJA"
U2089,RESILIENT HIGH SCHOOL
U2091,JOY DOMINION ACADEMY - MUSITA
U2093,BOSTON HIGH SCHOOL
U2095,LUGAZI HOMELAND COLLEGE
U2099,BETHEL COVENANT COLLEGE
U2101,"CORNERSTONE LEADERSHIP ACADEMY, MATUGGA"
U2102,SOROTI MUNICIPAL SEC. SCHOOL
U2103,HIGH LIGHT S.S
U2105,MT. ST. JOHN'S COLL.  KAGOMA
U2106,BANKHILL COLLEGE
U2108,KIROJO COLLEGE NAKASONGOLA
U2113,"CITYLAND COLLEGE, MATUGGA"
U2114,"ST. MARY'S HIGH SCHOOL, MIGADDE"
U2116,KHADIJAN GIRLS'  ISLAMIC
U2119,MPIGI MIXED SS
U2122,KITGUM VISION COLLEGE
U2129,KAMPALA APOSTOLIC SECONDARY SCHOOL
U2130,"HIGHWAY SEC. SCHOOL, KIGANDA"
U2135,ITENDERO HIGH SCHOOL
U2137,ST.ADOLF HIGH SCHOOL  KATOOSA
U2139,"MUMSA HIGH SCHOOL, MITYANA"
U2140,BROADWAY HIGH SCHOOL KAMPALA
U2144,ST. THOMAS AQUINAS COLLEGE  KAWEMPE
U2146,CITIZEN'S SECONDARY SCHOOL
U2148,NYARUKIIKA HIGH SCHOOL
U2151,"ST. ANDREW'S ACADEMY ,KISORO"
U2154,EDEN HIGH SCHOOL
U2156,"VICTORIA HIGH SCHOOL, NANSANA"
U2158,KIBIBI PARENTS SEC SCHOOL
U2160,"HOPE BOARDING SS,LUTEMBE"
U2163,ST. JOHN'S COLLEGE MPIGI
U2167,"SEETA HILL COLLEGE, MUKONO"
U2173,NILE HIGH SCHOOL
U2174,"HILL VIEW COLLEGE, BULANGIRA"
U2177,MBOGO COLLEGE SCHOOL
U2183,KAKOOLA HIGH SCHOOL
U2187,SAVIOUR HIGH SCHOOL
U2188,"CANON NJANGALI  GIRLS H/S , HOIMA"
U2198,KING SOLOMON'S COLLEGE
U2202,"CRESTED HIGH SCHOOL, LUKAYA"
U2215,LUBIRI SECONDARY SCHOOL (ANNEX)
U2218,"ST. MARY'S HIGH SCHOOL, KATALE - BUNAMWAYA"
U2222,BUGISU HIGH SCHOOL
U2223,KAPCHORWA PARENTS SENIOR SECONDARY SCHOOL
U2229,"LUMA EASTERN COLLEGE, BUSIA"
U2231,GRACE SECONDARY SCHOOL
U2235,"HELM SECONDARY SCHOOL, KISOGA"
U2236,"ST.MARY'S COLLEGE, LUGAZI"
U2244,"ST. EDWARDS'S COLLEGE, GALAMBA"
U2247,MIREMBE COLLEGE SCHOOL
U2258,MWANGUZI HIGH SCHOOL
U2260,"BWALA SECONDARY SCHOOL, MASAKA"
U2261,ATLAS HIGH SCHOOL
U2263,NEW KABALE BUSEGA HIGH SCHOOL
U2265,NGOMA  .S.S
U2275,MUKONO HILLSIDE COLLEGE SCHOOL
U2293,COUNTRY COLL.  MUKONO
U2307,OWOBUSOBOZI B.I. MODERN SECONDARY SCHOOL
U2317,NSAMBYA HILL SIDE SCHOOL
U2319,MAY CHRISTIAN COLLEGE
U2320,KISOZI HIGH SCHOOL
U2338,ST.MARY'S SS KITENDE (ANNEX)
U2339,ST. MICHAEL INTERNATIONAL SCHOOL
U2340,GAYAZA ROAD SECONDARY SCHOOL
U2355,"BUSOGA COLLEGE, KIGULU"
U2356,MPOMA BOYS'S SECONDARY SCHOOL
U2362,GLORYLAND CHRISTIAN COLLEGE
U2364,KASWABULI S.S.S
U2365,KOBWIN SEED SS NGORA
U2370,KAZO SS
U2371,MUNTA ROYAL COLLEGE
U2373,MOTHERLAND ACADEMY
U2380,GOOD SAMARITAN  NANSANA
U2381,RINES SECONDARY SCHOOL
U2397,STAR SENIOR SCHOOL
U2398,NANSANA EDUCATION CENTRE
U2399,OLYMPIO HIGH SCHOOL
U2400,ST JOSEPH OF NAZARETH HIGH SCHOOL
U2402,NOTREDAME HIGH SCHOOL
U2406,IAN COLLEGE  LYANTONDE
U2413,KISORO VISION
U2418,TRUST HIGH SCHOOL
U2419,ST. HENRY'S COLLEGE - NAMUGONGO
U2420,KAWEMPE MUSLIM HIGH SCHOOL
U2423,"VISION HIGH SCHOOL, KAWEMPE"
U2424,THE SCIENCE FOUNDATION COLLEGE
U2429,MBUYA COLLEGE SCHOOL
U2431,UBUNTU HILL SCHOOL
U2432,KAMPALA ISLAMIC SEC. SCHOOL
U2440,MT. ST. HENRY'S HIGH SCHOOL
U2444,FOREST HILL COLLEGE
U2461,SKYLAND HIGH SCHOOL
U2467,NAZARETHH.S
U2474,ST. JULIAN HIGH SCHOOL
U2476,KASULE HIGH SCHOOL
U2481,"VICTORIA VIEW SECONDARY SCHOOL, KIYINDI"
U2502,ST. JOSEPH'S BUYAGA  S.S
U2511,KASAWO ISLAMIC  INSTITUTE
U2516,BUSSI SECONDARY SCHOOL
U2524,ST. ANDREWS'S COLLAGE SCHOOL
U2528,SPRING FIELD  H.S
U2529,ST  ANTONIO ORTHODOX  S S MONDE
U2541,"KAWEMPE ROYAL COLLEGE, BULAGA"
U2545,ONWARD AND UPWARD SSS
U2546,PRIDE COLLEGE SCHOOL MPIGI
U2568,GLOBAL  .H. S
U2569,MUHANGA PROGRESSIV SECONDARY SCHOOL
U2583,OUR LADY OF AFRICA SECONDARY SCHOOL
U2589,EXCEL HIGH SCHOOL
U2590,CORNERSTONE HIGH SCHOOL NANGABO
U2592,KAIROS HIGH SCHOOL
U2596,NAMUNGOONA SALAF SCHOOL
U2599,NAGGULU SEED SECONDARY SCHOOL
U2602,LUBUGUMU JAMIA HIGH SCHOOL
U2615,JONATHAN MEM .COLL BUTEBO
U2630,ST. ELIZA SECONDARY SCHOOL
U2631,TANA MEMORIAL  HS  TORORO
U2650,ST. ANDREA KAAHWA SCHOOLS KOOKI
U2662,EMIRATES HIGH SCHOOL
U2663,"ST. ANDREW'S COLLEGE, SSANDA"
U2674,MARTIN LUTHER KING COLLEGE
U2697,LUGOBA HIGH SCHOOL
U2706,"GRACELAND GIRLS' SS, GULU"
U2712,KITALA S.S.S
U2720,ST. CHARLES LWANGA SEMINARY
U2727,HOPE COMMUNITY H/S
U2728,"KIRINYA C/U SECONDARY SCHOOL, KIREKA"
U2729,"ST.JOSEPH'S  SS, NAMUGONGO"
U2731,"ST. JAMES BIINA HALL, LUZIRA"
U2732,"EXODUS COLLEGE SCHOOL, MMENDE"
U2733,"MOUNT OF OLIVES COLLEGE, KAKIRI"
U2748,"STANDARD HIGH SCHOOL, NDEJJE"
U2751,"MENLIK SEC. SCHOOL, MATUGGA"
U2760,"MADINAH ISLAMIC SS, NSANGI"
U2761,FRIENDS ACADEMY KATENDE
U2767,"LIGHT SECONDARY SCHOOL, NYABUBARE"
U2772,"EXCEL HIGH, KABALE"
U2774,"KKAN HIGH SCHOOL, BUNAMWAYA"
U2776,GOODWILL COLLEGE SCHOOL
U2777,BWEYOGERERE HIGH SCHOOL
U2780,KIBULI MIXED SECONDARY SCHOOL
U2781,KATUUSO COMMUNITY SEC.  SCHOOL
U2782,SEETA-KASANGATI SS
U2784,"UGANDA MARTYRS HIGH SCHOOL , KIBOGA"
U2785,KAMPALA CITY SCHOOL  NANSANA
U2787,"EMIRATE COLLEGE SCHOOL, KAKIRI"
U2788,"MANHATTAN SS, KIYUNGA MUKONO"
U2789,MENGO SECONDARY SCHOOL ANNEX
U2802,"ST. FRANCIS COLLEGE, BULOBA"
U2803,NAJJEMBE HOMELAND SECONDARY SCHOOL
U2823,ST. HENRY'S COLLEGE MBALWA
U2839,ALBERT SSS HOIMA
U2842,LIGHT VOCATIONAL S.SLIRA
U2844,"LEO ATUBO SEC. SCHOOL, LIRA"
U2849,ENTEBBE KINGS' SSS
U2851,DESTINY EAGLES  S.S
U2852,"RAWUZHA HIGH SCHOOL, MPIGI"
U2853,ST. JUDE  SECONDARY SCHOOL MASAKA
U2863,ISHAKA VICTORY GIRLS SS
U2864,RUYONZA RIVERSIDE SEC. SCHOOL
U2875,LOHANA HIGH SCHOOL
U2876,"HOPE CHRISTIAN HIGH SCHOOL, LUGAZI"
U2877,LUGAZI HOMESTONE SCHOOL
U2879,BUIKWE SECONDARY SCHOOL
U2887,"ST. ELIZABETH GIRLS SECONDARY SCHOOL, MITYANA"
U2894,KAKIRI SECONDARY SCHOOL
U2900,"CETRAL COLLEGE , BUGIRI"
U2914,"LONDON HIGH SCHOOL , KABOWA"
U2924,EBENEZER SECONDARY SCHOOL
U2926,GREEN LIGHT ISLAMIC S.S
U2927,ST. PETERS SECONDARY SCHOOL - BOMBO  KALULE
U2929,"SEETA H/S GREEN CAMPUS, MUKONO"
U2930,"JAKAYZ SEC. SCHOOL, KABOWA"
U2940,"RESTORE LEADERSHIP H/S, GULU"
U2941,MBALE PROGRESSIVE SCHOOL
U2949,SHEEMA GIRLS SCHOOL
U2950,HIBISCUS HIGH SCHOOL
U2951,NTUNGAMO GIRLS' HIGH SCHOOL
U2953,BRIGHT TRUST SECONDARY SCHOOL  KYENGERA
U2954,"HOPEFUL FUTURE SS, KAYUNGA"
U2955,LUIGI GIUSSANI  HS
U2958,GODCARES HIGH SCHOOL
U2959,"TRINITY HIGH SCHOOL ,MASAJJA"
U2962,JINJA PROGRESSIVE ANNEX
U2976,nan
U2977,JANAN S.S
U2991,nan
U2997,"STANDAER COLLEGE SS, NSANGI"
U3011,ST. JOHN'S HIGH SCHOOLMUKONO
U3013,TIMOTHY GIRLS' HIGH SCHOOL
U3017,"GOD'S WAY HIGH SCHOOL, MAGANJO"
U3021,BUWAMBO SS
U3022,BETHEL ROYAL H S NAKASONGOLA
U3031,THE ACADEMY  ST. LAWRENCE
U3035,KATIKAMU S.S GAYAZA CAMPUS
U3039,VIENNA  H/S  KABOWA
U3043,MERRYLAND HIGH SCHOOL - KATABI
U3045,"FAIRMONT HIGH SCHOOL , MUKONO"
U3071,"GIFTED HANDS SECONDARY SCHOOL, KAWANDA"
U3072,BUWAMBO SEED SECONDARY SCHOOL
U3082,MANDELA SS  HOIMA
U3101,"IMPERIAL SECONDARY SCHOOL, IBANDA"
U3109,TIMBITWIRE GIRLS' SCHOOL
U3110,ST. GONZAGA SCHOOL  BUSHENYI
U3117,WELDEN SCHOOL
U3119,MBARARA GIRLS SCHOOL
U3121,nan
U3130,BRIGHT SECONDARY SCHOOLSEETA
U3133,ST. THERESA SS BULOBA KASERO
U3134,HOPE SENIOR SCHOOL
U3135,KINAAWA HIGH SCHOOL  KASANGATI
U3136,"SAM'S PARK HIGH, SCHOOL"
U3157,nan
U3160,MIDLAND HIGH SCHOOL LUWEERO CAMPUS
U3161,"BEATRICE SECONDARY SCHOOL, KYANKWANZI"
U3186,ST. PETERS SECONDARY SCHOOL SEGUKU
U3191,ST.FRANCIS BORGIA HIGH SCHOOL
U3192,GOD MARK  HIGH SCHOOL
U3216,BUSIIKA MUSLIM SENIOR SECONDARY SCHOOL
U3217,POPE JOHNPAUL II  HIGH SCHOOL
U3231,ISAAC NEWTON HIGH SCHOOL
U3256,ST. HENRY'S SCHOOL KYENGERA
U3261,ST. JONAH HIGH SCHOOL NAMUGONGO
U3262,NAGGALAMA SENIOR SECONDARY SCHOOL
U3263,MAKERERE COLLEGE SCHOOL
U3266,MENTOR SECONDARY SCHOOL
U3267,TAIBAH INTERNATIONAL SCHOOL
U3270,ST. JUDE VOCATIONAL S.S.
U3276,FORTUNE S S
U3297,BULOBA ROYAL COLLEGE
U3308,"ST. FRANCIS HIGH SCHOOL , NAMAGOMA"
U3311,ZAAKE  S.S
U3319,LUKWANGA SECONDARY SCHOOL
U3331,LUBIRI HIGH SCHOOL
U3332,"ALI MAZRUI MEMORIAL VOCATIONAL S.S., WAKISO"
U3333,nan
U3337,OUTSPAN SECONDARY SCHOOL
U3349,EZRA MEMORIAL SECONDARY SCHOOL
U3356,nan
U3381,ROCK HIGH SCHOOL - KABALE
U3384,NIBRAS ISLAMIC S.S.
U3385,ST. MARY'S COLLEGE LUGAZI  ANNEX
U3386,NAMIRYANGO MIXED SECONDARY SCHOOL
U3390,KANSANGA SEED S.S.
U3409,nan
U3415,AMITY SECONDARY SCHOOL
U3426,nan
U3427,BLESSED VICTORS S.S.
U3431,BRIGHT HIGH SCHOOL
U3444,NSAMBYA HILLSIDE WESTERN SCHOOL
U3446,HERITAGE VOCATIONAL SECONDARY SCHOOL
U3453,ROYAL COLLEGE - NAMUGONGO
U3454,nan
U3458,WEST VILLE
U3462,VIVA COLLEGE SCHOOL
U3538,"PROGRESSIVE SECONDARY SCHOOL, BULOBA"
U3539,BULOBA CHRISTIAN HIGH SCHOOL
U3541,ST. ANDREW KAGGWA GOMBE H/S  KAWAALA
U3549,ST. BENARD'S SECONDARY SCHOOL  KISWERA
U3560,CODE HIGH SCHOOL
U3566,nan
U3569,LIGHT ACADEMY SECONDARY SCHOOL
